Est-ce que tu me comprends?,Do you understand?,questions,
Pourriez-vous répéter|s'il vous plaît?,Can you repeat that|please?,questions,
Pouvez vous parles plus lentement?,Can you speak slower?,questions,
Qu'est-ce qui se passe?,What's happening?,questions,
Qu'est-ce que tu entends par …?,What do you mean by … ?,questions,
Il fait combien de degrés?,What temperature is it?,questions,
Il fait quel temps?,What is the weather?,questions,
se réveiller,to wake up,routine,
le matin,morning,routine,
se lever,to get up,routine,
s’habiller,to dress up,routine,
se brosser les dents,to brush the teeth,routine,
se laver le visage,to wash the face,routine,
prendre une douche,to take a shower,routine,
prendre le petit-déjeuner,to take the breakfast,routine,
L’après-midi,afternoon,routine,
aller au travail,to go to work,routine,
travailler,to work,routine,
déjeuner,to have lunch,routine,
dîner,to have lunch,routine,
prendre une pause,to take a break,routine,
faire une sieste,to do a nap,routine,
le soir,evening,routine,
faire du sport,to exercise,routine,
préparer le repas,to prepare the meal,routine,
manger,to eat,routine,
faire une promenade,to go for a walk,routine,
se promener,to walk,routine,
lire des livres,to read books,routine,
écouter de la musique,to listen to music,routine,
regardes des films ou des séries,to watch some movies or tv shows,routine,
voir des amis,to see some friends,routine,
aller au cinéma,to go to the cinema,routine,
jouer aux jeux vidéo,to play video games,routine,
aimer,to like,verbs,
regarder,to look at,verbs,
parler,to talk|to speak,verbs,
écouter,to listen to,verbs,
chanter,to sing,verbs,
danser,to dance,verbs,
rire,to laugh,verbs,
bouger,to move,verbs,
entrer,to enter,verbs,
sortir,to exit|to go out,verbs,
rester,to stay,verbs,
acheter,to buy,verbs,
étudier,to study,verbs,
prendre,to take,verbs,
conduire,to drive,verbs,
arrêter,to stop,verbs,
commencer,to begin,verbs,
finir,to finish,verbs,
laver,to wash,verbs,
lever,to lift|to raise,verbs,
penser,to think,verbs,
courir,to run,verbs,
marcher,to walk,verbs,
faire,to do|to make,verbs,
aller,to go,verbs,
venir,to come,verbs,
emprunter,to borrow,verbs,
prêter,to lend,verbs,
aider,to help,verbs,
prier,to pray to,verbs,
choisir,to choose,verbs,
dormir,to sleep,verbs,
boire,to drink,verbs,
mettre,to put,verbs,
écrire,to write,verbs,
lire,to read,verbs,
pousser,to push|to grow,verbs,
réchauffer,to reheat,verbs,
recommencer,to resume|to start again,verbs,
arriver,to arrive,verbs,
profiter,to take advantage of,verbs,
nager,to swim,verbs,
déménager,to move (house)|to remove,verbs,
montrer,to show,verbs,
rendre,to give back|to return,verbs,
partager,to share,verbs,
sembler,to seem,verbs,
visiter,to visit,verbs,
agir,to act,verbs,
appeler,to call,verbs,
applaudir,to applaud|to clap,verbs,
attendre,to wait (for),verbs,
avertir,to warn,verbs,
avoir,to have,verbs,
battre,to beat|to hit,verbs,
bâtir,to build,verbs,
comprendre,to understand,verbs,
connaître,to know (people/places),verbs,
construire,to build|to construct,verbs,
couper,to cut,verbs,
croire,to believe,verbs,
cueillir,to pick|to gather,verbs,
cuisiner,to cook,verbs,
demander,to ask,verbs,
descendre,to go down|to descend,verbs,
dessiner,to draw,verbs,
devenir,to become,verbs,
devoir,to have to|must,verbs,
dire,to say|to tell,verbs,
donner,to give,verbs,
découvrir,to discover,verbs,
dépenser,to spend (money),verbs,
entendre,to hear,verbs,
envoyer,to send,verbs,
fuir,to flee|to run away,verbs,
garder,to keep|to guard,verbs,
grandir,to grow,verbs,
grossir,to gain weight|to get bigger,verbs,
guérir,to heal|to cure,verbs,
joindre,to join|to reach,verbs,
laisser,to leave|to let,verbs,
maigrir,to lose weight|to get thinner,verbs,
monter,to go up|to climb,verbs,
mourir,to die,verbs,
naître,to be born,verbs,
nourrir,to feed|to nourish,verbs,
obtenir,to obtain|to get,verbs,
obéir,to obey,verbs,
offrir,to offer,verbs,
ouvrir,to open,verbs,
paraître,to appear|to seem,verbs,
partir,to leave|to depart,verbs,
passer,to pass|to spend (time),verbs,
peindre,to paint,verbs,
perdre,to lose,verbs,
permettre,to allow|to permit,verbs,
plaire,to please,verbs,
porter,to wear|to carry,verbs,
pouvoir,to be able to|can,verbs,
produire,to produce,verbs,
promettre,to promise,verbs,
quitter,to leave|to quit,verbs,
raconter,to tell (a story),verbs,
ralentir,to slow down,verbs,
recevoir,to receive,verbs,
remplir,to fill,verbs,
rencontrer,to meet,verbs,
revenir,to come back|to return,verbs,
rougir,to blush|to turn red,verbs,
réfléchir,to reflect|to think,verbs,
répondre,to answer|to reply,verbs,
réussir,to succeed,verbs,
s'asseoir,to sit (down),verbs,
saisir,to seize|to grab,verbs,
savoir,to know (facts),verbs,
se quitter,to leave each other|to part ways,verbs,
suivre,to follow,verbs,
tenir,to hold,verbs,
tomber,to fall,verbs,
traduire,to translate,verbs,
trouver,to find,verbs,
utiliser,to use,verbs,
valoir,to be worth,verbs,
vendre,to sell,verbs,
vieillir,to age|to grow old,verbs,
vivre,to live,verbs,
voir,to see,verbs,
voler,to fly|to steal,verbs,
vouloir,to want,verbs,
établir,to establish,verbs,
être,to be,verbs,
il ya du vent,it’s windy,weather,
il fait chaud,it’s hot,weather,
il neige,snows,weather,
il y a des nuages,cloudy,weather,
il y a de l’òrage,storms,weather,
il ya a du soleil,sunny,weather,
il pleut,rain,weather,
il fait beau,sunny,weather,
l’été,summer,weather,
l’hiver,winter,weather,
l’automne,autumn,weather,
les saisons,seasons,weather,
les pays,countries,weather,
la météo,weather,weather,
